sequence,median,0.75 Q,0.95 Q,mean,std_dev
plain,0.12180065006363941,0.31358614567455956,1.83359776659687,0.5685462285910134,1.477463360577577
stairs,0.08303514123969111,0.5828043961584068,3.572826551704412,0.7583387385629827,1.2872512652651416
apartment,0.12596940337138324,1.4626674851890746,3.4675994959252843,0.9515886351059178,1.8581735598700164
hauptgebaude,0.023074156832388913,0.9744945226356438,2.0379916038957955,0.5566046907214763,0.7322604808152188
wood_autumn,0.04961776378018833,0.08480945694038786,0.24219357695600743,0.08650431424474629,0.11811949070208404
wood_summer,0.040620407059065194,0.0682404369459792,0.16640662295063136,0.07495119454480327,0.14167062514868153
gazebo_summer,0.03577891490076303,0.05571063988011653,0.26995846500060133,0.11059335090817406,0.30833138791830716
gazebo_winter,0.04083719041150126,0.07628375313880466,0.4048300668427478,0.11788575131128397,0.27900410656102503
box_met,0.3099691573403917,7.62240904555718,12.104841751383319,3.5172032394464967,4.677127574315351
p2at_met,0.1642975210866469,0.6562158188415809,9.91873792942391,1.8164530982526776,3.38162192263526
planetary_map,46.45393091520168,62.768957268633955,95.28228154486506,49.22451847074546,24.641836822740267
pioneer_slam,0.46255909702111475,1.9208046497883429,7.236842900256442,1.7755311508592342,2.884971339923758
pioneer_slam3,0.14250692268953913,0.21095957761060333,0.9005678454705895,0.39381734537726265,1.112692572250777
long_office_household,0.6633321071165642,1.6654300054820053,15.039222492659956,2.470368671515685,4.520048279387291
urban05,2.765893758588355,4.073977228590364,6.399723328615375,3.0758588140369665,2.346762971831564
Total,0.14827814760611818,1.5643161474719731,33.493881588038775,4.426315183997276,13.919454750245045
