# registration_from_features.py FastGlobal FastGlobal_config.json euclidean True --use_random_keypoints=True --n_keypoints=5000 --input_txt=/benchmark/point_clouds_registration_benchmark//kaist/urban05_global.txt --input_pcd_dir=/benchmark/point_clouds_registration_benchmark//kaist/urban05/ --input_features_dir=/benchmark/experiments/FCGF/3DMatch_voxelgrid_0.1/features//kaist/urban05/ --output_dir=/benchmark/experiments/FCGF/3DMatch_voxelgrid_0.1/results/FastGlobal
id;initial_error;final_error;transformation;status_code
34562489690030;3.026378295279987;2.440793980953644;0.37767344577009204  0.018965381927729178  0.925744609840359  284370.7068732507  -0.8203951484012304  -0.456706600339689  0.34405069638919106  12296075.519756299  0.4293187264025053  -0.8894151985965281  -0.1569268481351489  6854398.24649133  0.0  0.0  0.0  1.0;ok
34562489690061;2.3389289960652655;2.9295767877834678;-0.19527506966762037  0.8865751071543172  -0.41934738170235203  -6293377.642839806  -0.4009771096940074  -0.4623812169328438  -0.7908356135943443  12047588.60728802  -0.8950335215329904  0.013718221532488199  0.44578784834295265  518429.1619029545  0.0  0.0  0.0  1.0;ok
34562489690092;2.8315574878443655;0.6491386157801851;0.6180879761243218  0.7057785944256494  0.3461846753123129  -5410128.553847076  -0.5145304767857077  0.030273611848953337  0.8569375104897031  8163406.88600312  0.5943278911755782  -0.707785337567947  0.38185635217267017  5277087.82296336  0.0  0.0  0.0  1.0;ok
34562489690123;1.8101091339027975;0.3569111959093536;-0.10906525619540795  -0.9931000108585989  -0.04309452776957296  8769225.318749651  0.9937987508926645  -0.1098811811779042  0.01703434023160699  8231531.564033302  -0.021652081082602793  -0.04096943318623085  0.9989257694789898  344821.97866235266  0.0  0.0  0.0  1.0;ok
34562489690154;2.62470578061902;0.3273709518872985;-0.8106098935956311  0.37726953839471417  -0.4478607995843337  -1763320.5105131662  0.16698358639721203  -0.5841324635391368  -0.7942957553163824  12628195.197948376  -0.5612736251408976  -0.7186494002217901  0.41050573355564446  6176390.069006587  0.0  0.0  0.0  1.0;ok
34562489690185;5.512606798611554;2.4743740880572758;0.822669075967385  0.5102966690637791  0.25062502067706605  -3981142.0875668293  -0.022736474546413584  0.47001560298462136  -0.8823652223859472  4280188.722599784  -0.5680657040978351  0.7201962527626854  0.3982696490249002  -5395285.948544703  0.0  0.0  0.0  1.0;ok
34562489690216;1.5460191220852306;2.8454765832921884;0.5914371651714329  0.2592663749255049  -0.763533251723177  -1798890.0939129367  0.6695678762032063  -0.6855341840831545  0.2858701481620123  13090899.2795678  -0.44931162772702343  -0.680311567802893  -0.579046830492026  5789400.001793512  0.0  0.0  0.0  1.0;ok
34562489690247;5.3501947700473025;1.1049283492229904;0.1337370372244788  0.983898795750105  -0.11856460093937218  -7307520.016501833  -0.9655168444260666  0.15632536424193366  0.2081816601532349  7466237.396238746  0.22336433915007226  0.08663452092625154  0.9708773515640018  -853944.3370362341  0.0  0.0  0.0  1.0;ok
34562489690278;1.7336325432466153;2.3693660980736113;-0.22192923883923651  0.5892834708249247  -0.7768477353772547  -3882711.5053742127  0.04671613502730103  -0.7893746780287338  -0.6121317018543828  14363639.919737158  -0.9739430248614886  -0.17214124636344608  0.14765627526147018  2069148.9171284155  0.0  0.0  0.0  1.0;ok
34562489690309;1.8806280573322476;2.2846261749439756;-0.8082377938533021  0.5879672635582169  0.032344482852733794  -3460444.509424431  -0.5430517796575927  -0.7230040401841996  -0.4270362074672895  14244474.901898826  -0.2276981185646262  -0.3627115311941243  0.9036558592411956  3078264.5372951864  0.0  0.0  0.0  1.0;ok
34562489690340;1.342499596526476;0.9180209891605755;0.2566307482979456  0.9505551760358949  -0.1748871531571344  -7125748.724282376  -0.6633798782524825  0.30483001342431926  0.6833782262008711  6059090.509813967  0.7028995633500962  -0.059359247191148726  0.708807931399714  -16122.958773431537  0.0  0.0  0.0  1.0;ok
34562489690371;2.166541248145545;0.2625705614966008;0.6097895803003702  -0.7685483819410621  -0.19362348094400317  6457230.571829855  0.7553163787528547  0.637535983467332  -0.15180592139971177  2386055.2066100216  0.24011213160682385  -0.05367731737070588  0.9692599805290177  263339.76118402823  0.0  0.0  0.0  1.0;ok
34562489690402;1.8237522520831808;0.3193972826425324;-0.6873791916396038  0.486155400691702  -0.5395950085751123  -2725895.9142724616  -0.5336465621062042  -0.8420254004176747  -0.07883255548111197  15195254.154513841  -0.4926775757563079  0.2337651629942855  0.8382258973076062  -1534636.5269955548  0.0  0.0  0.0  1.0;ok
