sequence,median,0.75 Q,0.95 Q,mean,std_dev
plain,0.41386105226231784,3.7441040153270984,6.865803797299457,2.0582919496530896,2.81444509834722
stairs,0.21430523321073777,2.3735323580019903,4.446622594273715,1.233283721588154,1.6631694099820173
apartment,0.20709934923513745,1.3286923376322084,3.5679772332466877,0.8564033565706839,1.2178526518874078
hauptgebaude,0.18615682036624343,1.6114343065339989,3.339497036390942,1.0083112837681723,1.1689999073646802
wood_autumn,2.8963234002421165,3.753237060439445,5.429485304750865,2.8790068231440857,1.4703285510893118
wood_summer,2.385452721438319,3.694949440929285,5.233264378312685,2.4715227431502176,1.5987135086567075
gazebo_summer,1.8968964845650622,2.7659181795249146,4.376472100729973,1.7359916559911968,1.5384117077063975
gazebo_winter,1.5215032820512393,2.9689314970135716,5.600624736907023,1.8470594325777834,1.9622843314656548
box_met,7.442940612137009,10.456523393474342,13.228009698050654,7.9014695455795865,3.4780131257033764
p2at_met,8.03602148438884,12.354525855675007,17.480944500164014,8.271874379258108,5.3826045646526595
planetary_map,10.802270375989739,15.106891465099524,20.78131315075206,11.645382930270117,5.127611372139428
pioneer_slam,0.3565671616436603,1.566337462852156,12.301061865962987,2.1782789406259324,4.08158118089141
pioneer_slam3,0.12742003001973395,0.18679647554918777,0.4254539428994992,0.25282175371118876,0.8522421592947239
long_office_household,0.47585892347673875,1.6885316012708529,18.07462210619906,3.3045778105964483,7.327633670792172
urban05,2.930074472743454,3.8916121845512746,5.529671571651031,3.1357952720965234,1.600918127672608
Total,1.8221597840718027,4.480496517165046,13.122726071886937,3.3963368346995133,4.5854910468342585
