sequence,median,0.75 Q,0.95 Q,mean,std_dev
plain,0.4944036966952179,1.1128974868312889,1.893707964626444,0.7638828415604855,0.739018840534999
stairs,0.28023891096135745,1.946779380456764,3.8946451002893134,1.0940284568770964,1.4827827177942772
apartment,0.212079396444543,1.1501893148862403,2.6734219064217646,0.711582660993548,0.9242455339335122
hauptgebaude,0.3576171669751641,1.052246485716042,1.8571917966871774,0.6278692083140451,0.6026729144696539
wood_autumn,0.32304864508447406,0.5070893249532226,0.894913423661686,0.388697279309135,0.3183949714259783
wood_summer,0.30140986456256696,0.4658135903252931,1.1122232611587124,0.39931580431678726,0.4047579479955527
gazebo_summer,0.20305907474160678,0.4319698434987351,1.2065876142655394,0.35469944092073646,0.47006163258219674
gazebo_winter,0.17723235663114956,0.3708649943360483,1.2544955567749843,0.37283532381243745,0.5373757904035591
box_met,7.159255050637633,9.866551093045679,14.123096178438514,7.241921848293045,3.903902069371658
p2at_met,1.8987379456052156,6.00634167641849,10.052158889073882,3.511567760475864,3.5825025023489396
planetary_map,29.816847857667216,43.52123681827719,69.25197011084475,32.78666417448864,17.6466745884997
pioneer_slam,3.2447289145481446,7.463942906703164,10.788322230171191,4.201860488258695,4.201708523607332
pioneer_slam3,0.12907261676257725,0.22948634653771435,0.6434328294988125,0.3529363755463207,1.0897478714373334
long_office_household,1.4728972017755582,6.913070933858942,12.220912393290178,177.726405039436,1733.805111904246
urban05,1.5293828659313733,2.129607011616152,3.439217597130618,1.6444520999177268,1.3199952908741515
Total,0.4755114363004709,2.4352967950163085,19.90442474779181,15.501627968442763,449.5606332277641
