# geo_benchmark.py --weights=/home/docker/GeoTransformer_benchmark/weights/geotransformer-kitti.pth.tar --input_txt=/benchmark/point_clouds_registration_benchmark/dataset_voxelgrid_0.3//planetary/box_met_global.txt --input_pcd_dir=/benchmark/point_clouds_registration_benchmark/dataset_voxelgrid_0.3//planetary/box_met/ --output_dir=/benchmark/experiments/geotransformer/kitti
id;initial_error;final_error;transformation;status_code
7680147070030;2.177020045956791;1.3588086397925194;-0.94771427  0.2640673  0.17918208  -140.71414  0.24758428  0.25416145  0.9349351  15.680727  0.20134468  0.9304141  -0.30625135  12.583019  0.0  0.0  0.0  1.0;ok
7680147070061;2.1158073062482887;0.24265549558445482;0.6166323  0.75484955  -0.22353321  -60.174416  -0.75524074  0.647356  0.10267235  -77.56325  0.22220773  0.105510294  0.9692736  35.692085  0.0  0.0  0.0  1.0;ok
7680147070092;2.856502668917761;2.859261433990898;0.54213846  -0.82059246  0.18086867  -17.268951  -0.09705428  0.1526553  0.9835022  8.599841  -0.8346653  -0.5507487  0.0031184554  -66.551384  0.0  0.0  0.0  1.0;ok
7680147070123;1.898480516578433;2.8886063101719603;0.8558882  0.024807915  -0.516565  8.254915  -0.4551219  -0.4382208  -0.77513  33.04117  -0.24559891  0.89852476  -0.36377767  -37.199028  0.0  0.0  0.0  1.0;ok
7680147070154;1.042043995661386;0.035828856555750785;0.79227316  0.052547652  0.6078993  -12.932747  0.20909666  0.91257715  -0.35139954  17.235647  -0.57322013  0.4055142  0.7120229  -30.278835  0.0  0.0  0.0  1.0;ok
7680147070185;3.0278027536430923;1.4687171961367138;0.2328623  0.96341956  -0.13265811  -66.311104  0.94213945  -0.25730482  -0.21486607  90.12558  -0.24113975  -0.07494822  -0.96759206  -34.57038  0.0  0.0  0.0  1.0;ok
7680147070216;1.837077298427231;0.04226716073205156;0.62737477  -0.6378007  -0.4467793  -30.699795  0.5004565  -0.109334745  0.85883033  47.904495  -0.5966109  -0.76240164  0.2505975  -33.121544  0.0  0.0  0.0  1.0;ok
7680147070247;1.8323176150838272;0.2720676357238225;-0.53505915  0.050863393  0.8432821  -135.4912  -0.6448013  0.6203486  -0.4465408  -63.851364  -0.54584146  -0.7826752  -0.29912645  -47.535015  0.0  0.0  0.0  1.0;ok
7680147070278;1.9466714855906555;0.07446301660529389;0.23337612  -0.63716316  0.7345462  -43.92815  0.8093287  -0.29144853  -0.50994533  94.31087  0.5390011  0.71349865  0.4476576  14.376627  0.0  0.0  0.0  1.0;ok
7680147070309;2.736069377392603;2.5221751255672236;0.988278  0.08887946  -0.124126315  -5.292324  -0.032562934  0.9170696  0.39739576  -2.9410965  0.14915271  -0.38869548  0.9092136  6.6666856  0.0  0.0  0.0  1.0;ok
7680147070340;2.3351527093448046;1.4195753510598104;-0.95409936  0.22121331  -0.20188928  -4.553005  -0.052815933  -0.78782415  -0.6136316  45.356705  -0.29479665  -0.5748025  0.76334596  22.668695  0.0  0.0  0.0  1.0;ok
7680147070371;1.9761129537816073;0.08711877715030132;-0.60720533  -0.6053341  0.5146572  -80.83578  0.27533528  -0.7679114  -0.5783615  -1.1725588  0.7453133  -0.20948103  0.63295  27.57551  0.0  0.0  0.0  1.0;ok
7680147070402;2.5156439925393443;0.046423622422022096;-0.6944679  0.5260004  -0.4909563  -54.4011  -0.44604075  -0.85012794  -0.2798756  16.819717  -0.5645902  0.024621919  0.82500404  -2.9752312  0.0  0.0  0.0  1.0;ok
