sequence,median,0.75 Q,0.95 Q,mean,std_dev
plain,0.04200522931370272,0.08878443852834186,10.32547134398622,1.5009295147071695,3.3466602095472986
stairs,0.011370812166936832,0.029175990909383602,5.16296312869103,0.7956752796995837,1.9173895633163065
apartment,0.007466777914066683,0.01482404746184856,0.05897651128576373,0.08850496503759377,0.587664428244405
hauptgebaude,0.7882664429244812,0.8471060564165196,2.3523066130235613,0.6719794363189936,0.7416738313108973
wood_autumn,0.015490143220563485,0.020819384341165103,0.04737428165846432,0.07863433442852186,0.4188252145042972
wood_summer,0.012737801642633224,0.017648633479282614,0.03049119489264483,0.05921473040118732,0.4471269693514276
gazebo_summer,0.010931055448116867,0.018550937481251178,0.0787087418983329,0.11863935515189966,0.5242440484568341
gazebo_winter,0.00966429084170386,0.013979242696981932,0.025424486004260217,0.011344359672883806,0.006665413402922596
box_met,7.442940612137009,10.747946538563236,13.788829285015229,7.747617478760739,4.241830570143668
p2at_met,4.929381140721819,10.608029296079073,15.91542342464432,5.741563457950799,5.796283645163383
planetary_map,11.082038661408516,15.218596040054113,20.951524994847016,11.826442540339789,5.39974131731012
pioneer_slam,0.07024528565953457,0.10170754007046495,0.7243025173991694,0.14861263257171653,0.20282222028670954
pioneer_slam3,0.03323937341250524,0.051243447089262685,0.08565576432904433,0.039248081813759904,0.031010383814254097
long_office_household,0.08091834216491746,0.1350492089106295,0.2656181708716029,0.12326326548697032,0.25274832539081765
urban05,2.5148994943683185,3.6249279732036106,5.292492042855416,2.798909313999979,1.252907592888471
Total,0.03994027200962823,1.8265849403765577,12.28164506217212,2.129634327373394,4.303735311437742
