sequence,median,0.75 Q,0.95 Q,mean,std_dev
plain,1.401036920049032,2.2164919244606653,3.1821258459795057,1.5890861936331493,0.882881828303251
stairs,1.080251927359983,2.5480608600824457,4.947856899611298,1.6516787630889558,1.545833268201024
apartment,0.5910874604510834,1.6727298593211066,3.6324789306768075,1.1453282685771575,1.262804809795053
hauptgebaude,0.7599559882030469,1.3377753115153967,2.0032837322218615,0.8882929714855899,0.6503810837237008
wood_autumn,0.6463817020948655,1.4649496051452473,1.8203869816892402,0.8299447643385554,0.6155922080142456
wood_summer,0.4661514387655369,0.9541342795506532,1.6586432929815171,0.6360236801632397,0.4830966703822671
gazebo_summer,0.5699768100961087,1.4666940126571129,3.9415587509167747,1.040906760620765,1.143351234517691
gazebo_winter,0.3867891741351149,0.777925608096163,2.2635146784884306,0.6952315710531497,0.8523045370541901
box_met,8.685637223233785,10.493952850622494,13.885594910886523,8.648829745922164,3.0420355187530492
p2at_met,6.368457719311359,8.003948480521101,11.894050544762154,6.280548221106586,3.153273244402344
planetary_map,29.89150009915835,41.092712723927264,66.7371640947112,31.9861922770033,17.36772974388839
pioneer_slam,0.0764208239542199,0.1552701782239868,0.798776207621738,0.1534678801350565,0.29573882324476636
pioneer_slam3,0.2638222798653792,0.6559561552656775,3.142372237654875,0.6327042519219214,1.0490890257384857
long_office_household,0.06111143686423076,0.1281148576344565,0.34651924543488394,0.13189226034821955,0.25137868537362845
urban05,1.6617918498831235,2.0669825419848964,3.1028788966598184,1.703280992896957,0.866494359795599
Total,0.8918223490864468,2.600039364940117,18.916028093187453,3.905002160308578,9.22728672591169
